time iterations max_iter N tolerance start_T n_threads experiment
0.000116 53 1000000 8 0.005000 0.000000 1 GSEQ 
0.000345 78 1000000 10 0.005000 0.000000 1 GSEQ 
0.000830 107 1000000 12 0.005000 0.000000 1 GSEQ 
0.002541 159 1000000 15 0.005000 0.000000 1 GSEQ 
0.010729 267 1000000 20 0.005000 0.000000 1 GSEQ 
0.032559 401 1000000 25 0.005000 0.000000 1 GSEQ 
0.080920 561 1000000 30 0.005000 0.000000 1 GSEQ 
0.344766 957 1000000 40 0.005000 0.000000 1 GSEQ 
1.032401 1450 1000000 50 0.005000 0.000000 1 GSEQ 
7.571768 3103 1000000 75 0.005000 0.000000 1 GSEQ 
31.088956 5331 1000000 100 0.005000 0.000000 1 GSEQ 
49.611820 6378 1000000 110 0.005000 0.000000 1 GSEQ 
76.123914 7515 1000000 120 0.005000 0.000000 1 GSEQ 
136.030310 9385 1000000 135 0.005000 0.000000 1 GSEQ 
228.126431 11445 1000000 150 0.005000 0.000000 1 GSEQ 
