time iterations max_iter N tolerance start_T n_threads experiment
0.000723 53 1000000 8 0.005000 0.000000 1 GSEQ 
0.002076 78 1000000 10 0.005000 0.000000 1 GSEQ 
0.005002 107 1000000 12 0.005000 0.000000 1 GSEQ 
0.014442 159 1000000 15 0.005000 0.000000 1 GSEQ 
0.057682 267 1000000 20 0.005000 0.000000 1 GSEQ 
0.169355 401 1000000 25 0.005000 0.000000 1 GSEQ 
0.413141 561 1000000 30 0.005000 0.000000 1 GSEQ 
1.674667 957 1000000 40 0.005000 0.000000 1 GSEQ 
4.876071 1450 1000000 50 0.005000 0.000000 1 GSEQ 
35.355162 3103 1000000 75 0.005000 0.000000 1 GSEQ 
143.761393 5331 1000000 100 0.005000 0.000000 1 GSEQ 
228.865148 6378 1000000 110 0.005000 0.000000 1 GSEQ 
350.467255 7515 1000000 120 0.005000 0.000000 1 GSEQ 
