time iterations max_iter N tolerance start_T n_threads experiment
0.031920 10000 10000 8 0.005000 0.000000 1 JABASO3 
0.035919 10000 10000 8 0.005000 0.000000 2 JABASO3 
0.033805 10000 10000 8 0.005000 0.000000 4 JABASO3 
0.041634 10000 10000 8 0.005000 0.000000 8 JABASO3 
0.084160 10000 10000 8 0.005000 0.000000 12 JABASO3 
0.124442 10000 10000 8 0.005000 0.000000 16 JABASO3 
0.137690 10000 10000 8 0.005000 0.000000 20 JABASO3 
0.178427 10000 10000 8 0.005000 0.000000 24 JABASO3 
0.045404 10000 10000 10 0.005000 0.000000 1 JABASO3 
0.041204 10000 10000 10 0.005000 0.000000 2 JABASO3 
0.040871 10000 10000 10 0.005000 0.000000 4 JABASO3 
0.069680 10000 10000 10 0.005000 0.000000 8 JABASO3 
0.059427 10000 10000 10 0.005000 0.000000 12 JABASO3 
0.149876 10000 10000 10 0.005000 0.000000 16 JABASO3 
0.146576 10000 10000 10 0.005000 0.000000 20 JABASO3 
0.186209 10000 10000 10 0.005000 0.000000 24 JABASO3 
0.066208 10000 10000 12 0.005000 0.000000 1 JABASO3 
0.053273 10000 10000 12 0.005000 0.000000 2 JABASO3 
0.043320 10000 10000 12 0.005000 0.000000 4 JABASO3 
0.082439 10000 10000 12 0.005000 0.000000 8 JABASO3 
0.052413 10000 10000 12 0.005000 0.000000 12 JABASO3 
0.129823 10000 10000 12 0.005000 0.000000 16 JABASO3 
0.149215 10000 10000 12 0.005000 0.000000 20 JABASO3 
0.172202 10000 10000 12 0.005000 0.000000 24 JABASO3 
0.109055 10000 10000 15 0.005000 0.000000 1 JABASO3 
0.074666 10000 10000 15 0.005000 0.000000 2 JABASO3 
0.064675 10000 10000 15 0.005000 0.000000 4 JABASO3 
0.051540 10000 10000 15 0.005000 0.000000 8 JABASO3 
0.123315 10000 10000 15 0.005000 0.000000 12 JABASO3 
0.127656 10000 10000 15 0.005000 0.000000 16 JABASO3 
0.191575 10000 10000 15 0.005000 0.000000 20 JABASO3 
0.231350 10000 10000 15 0.005000 0.000000 24 JABASO3 
0.234967 10000 10000 20 0.005000 0.000000 1 JABASO3 
0.139265 10000 10000 20 0.005000 0.000000 2 JABASO3 
0.085408 10000 10000 20 0.005000 0.000000 4 JABASO3 
0.101339 10000 10000 20 0.005000 0.000000 8 JABASO3 
0.137450 10000 10000 20 0.005000 0.000000 12 JABASO3 
0.168347 10000 10000 20 0.005000 0.000000 16 JABASO3 
0.218211 10000 10000 20 0.005000 0.000000 20 JABASO3 
0.253187 10000 10000 20 0.005000 0.000000 24 JABASO3 
0.445726 10000 10000 25 0.005000 0.000000 1 JABASO3 
0.262058 10000 10000 25 0.005000 0.000000 2 JABASO3 
0.151507 10000 10000 25 0.005000 0.000000 4 JABASO3 
0.106720 10000 10000 25 0.005000 0.000000 8 JABASO3 
0.131044 10000 10000 25 0.005000 0.000000 12 JABASO3 
0.198556 10000 10000 25 0.005000 0.000000 16 JABASO3 
0.238656 10000 10000 25 0.005000 0.000000 20 JABASO3 
0.325444 10000 10000 25 0.005000 0.000000 24 JABASO3 
0.786162 10000 10000 30 0.005000 0.000000 1 JABASO3 
0.426496 10000 10000 30 0.005000 0.000000 2 JABASO3 
0.246725 10000 10000 30 0.005000 0.000000 4 JABASO3 
0.157086 10000 10000 30 0.005000 0.000000 8 JABASO3 
0.159042 10000 10000 30 0.005000 0.000000 12 JABASO3 
0.282010 10000 10000 30 0.005000 0.000000 16 JABASO3 
0.304175 10000 10000 30 0.005000 0.000000 20 JABASO3 
0.314349 10000 10000 30 0.005000 0.000000 24 JABASO3 
1.811172 10000 10000 40 0.005000 0.000000 1 JABASO3 
0.949110 10000 10000 40 0.005000 0.000000 2 JABASO3 
0.514165 10000 10000 40 0.005000 0.000000 4 JABASO3 
0.286311 10000 10000 40 0.005000 0.000000 8 JABASO3 
0.245308 10000 10000 40 0.005000 0.000000 12 JABASO3 
0.349288 10000 10000 40 0.005000 0.000000 16 JABASO3 
0.339916 10000 10000 40 0.005000 0.000000 20 JABASO3 
0.411126 10000 10000 40 0.005000 0.000000 24 JABASO3 
3.421732 10000 10000 50 0.005000 0.000000 1 JABASO3 
1.749298 10000 10000 50 0.005000 0.000000 2 JABASO3 
0.932504 10000 10000 50 0.005000 0.000000 4 JABASO3 
0.579412 10000 10000 50 0.005000 0.000000 8 JABASO3 
0.409488 10000 10000 50 0.005000 0.000000 12 JABASO3 
0.442137 10000 10000 50 0.005000 0.000000 16 JABASO3 
0.691102 10000 10000 50 0.005000 0.000000 20 JABASO3 
0.695299 10000 10000 50 0.005000 0.000000 24 JABASO3 
10.766317 10000 10000 75 0.005000 0.000000 1 JABASO3 
5.547085 10000 10000 75 0.005000 0.000000 2 JABASO3 
2.836024 10000 10000 75 0.005000 0.000000 4 JABASO3 
1.546128 10000 10000 75 0.005000 0.000000 8 JABASO3 
