time iterations max_iter N tolerance start_T n_threads experiment
0.163257 10000 10000 8 0.005000 0.000000 1 JABAS 
0.105564 10000 10000 8 0.005000 0.000000 2 JABAS 
0.071257 10000 10000 8 0.005000 0.000000 4 JABAS 
0.071740 10000 10000 8 0.005000 0.000000 8 JABAS 
0.074477 10000 10000 8 0.005000 0.000000 12 JABAS 
0.166243 10000 10000 8 0.005000 0.000000 16 JABAS 
0.196951 10000 10000 8 0.005000 0.000000 20 JABAS 
0.196428 10000 10000 8 0.005000 0.000000 24 JABAS 
0.306983 10000 10000 10 0.005000 0.000000 1 JABAS 
0.176724 10000 10000 10 0.005000 0.000000 2 JABAS 
0.121477 10000 10000 10 0.005000 0.000000 4 JABAS 
0.131690 10000 10000 10 0.005000 0.000000 8 JABAS 
0.088533 10000 10000 10 0.005000 0.000000 12 JABAS 
0.190376 10000 10000 10 0.005000 0.000000 16 JABAS 
0.237216 10000 10000 10 0.005000 0.000000 20 JABAS 
0.238405 10000 10000 10 0.005000 0.000000 24 JABAS 
0.513367 10000 10000 12 0.005000 0.000000 1 JABAS 
0.291563 10000 10000 12 0.005000 0.000000 2 JABAS 
0.158126 10000 10000 12 0.005000 0.000000 4 JABAS 
0.123006 10000 10000 12 0.005000 0.000000 8 JABAS 
0.127715 10000 10000 12 0.005000 0.000000 12 JABAS 
0.170334 10000 10000 12 0.005000 0.000000 16 JABAS 
0.194880 10000 10000 12 0.005000 0.000000 20 JABAS 
0.194898 10000 10000 12 0.005000 0.000000 24 JABAS 
0.979476 10000 10000 15 0.005000 0.000000 1 JABAS 
0.559086 10000 10000 15 0.005000 0.000000 2 JABAS 
0.298645 10000 10000 15 0.005000 0.000000 4 JABAS 
0.178071 10000 10000 15 0.005000 0.000000 8 JABAS 
0.194966 10000 10000 15 0.005000 0.000000 12 JABAS 
0.243755 10000 10000 15 0.005000 0.000000 16 JABAS 
0.246014 10000 10000 15 0.005000 0.000000 20 JABAS 
0.276875 10000 10000 15 0.005000 0.000000 24 JABAS 
2.359747 10000 10000 20 0.005000 0.000000 1 JABAS 
1.209247 10000 10000 20 0.005000 0.000000 2 JABAS 
0.628584 10000 10000 20 0.005000 0.000000 4 JABAS 
0.402673 10000 10000 20 0.005000 0.000000 8 JABAS 
0.335347 10000 10000 20 0.005000 0.000000 12 JABAS 
0.356658 10000 10000 20 0.005000 0.000000 16 JABAS 
0.341346 10000 10000 20 0.005000 0.000000 20 JABAS 
0.365306 10000 10000 20 0.005000 0.000000 24 JABAS 
4.915123 10000 10000 25 0.005000 0.000000 1 JABAS 
2.586476 10000 10000 25 0.005000 0.000000 2 JABAS 
1.402555 10000 10000 25 0.005000 0.000000 4 JABAS 
0.834747 10000 10000 25 0.005000 0.000000 8 JABAS 
0.658267 10000 10000 25 0.005000 0.000000 12 JABAS 
0.546149 10000 10000 25 0.005000 0.000000 16 JABAS 
0.628039 10000 10000 25 0.005000 0.000000 20 JABAS 
0.590357 10000 10000 25 0.005000 0.000000 24 JABAS 
8.427904 10000 10000 30 0.005000 0.000000 1 JABAS 
4.267949 10000 10000 30 0.005000 0.000000 2 JABAS 
2.302804 10000 10000 30 0.005000 0.000000 4 JABAS 
1.182459 10000 10000 30 0.005000 0.000000 8 JABAS 
0.914533 10000 10000 30 0.005000 0.000000 12 JABAS 
0.791021 10000 10000 30 0.005000 0.000000 16 JABAS 
0.819239 10000 10000 30 0.005000 0.000000 20 JABAS 
0.822811 10000 10000 30 0.005000 0.000000 24 JABAS 
20.037118 10000 10000 40 0.005000 0.000000 1 JABAS 
10.100924 10000 10000 40 0.005000 0.000000 2 JABAS 
5.076128 10000 10000 40 0.005000 0.000000 4 JABAS 
2.594204 10000 10000 40 0.005000 0.000000 8 JABAS 
2.101874 10000 10000 40 0.005000 0.000000 12 JABAS 
1.684098 10000 10000 40 0.005000 0.000000 16 JABAS 
1.254043 10000 10000 40 0.005000 0.000000 20 JABAS 
1.292976 10000 10000 40 0.005000 0.000000 24 JABAS 
39.009905 10000 10000 50 0.005000 0.000000 1 JABAS 
19.586799 10000 10000 50 0.005000 0.000000 2 JABAS 
10.206612 10000 10000 50 0.005000 0.000000 4 JABAS 
5.529267 10000 10000 50 0.005000 0.000000 8 JABAS 
3.995626 10000 10000 50 0.005000 0.000000 12 JABAS 
3.286728 10000 10000 50 0.005000 0.000000 16 JABAS 
2.586162 10000 10000 50 0.005000 0.000000 20 JABAS 
2.642613 10000 10000 50 0.005000 0.000000 24 JABAS 
131.493764 10000 10000 75 0.005000 0.000000 1 JABAS 
66.673690 10000 10000 75 0.005000 0.000000 2 JABAS 
33.453795 10000 10000 75 0.005000 0.000000 4 JABAS 
17.614156 10000 10000 75 0.005000 0.000000 8 JABAS 
12.376650 10000 10000 75 0.005000 0.000000 12 JABAS 
8.929956 10000 10000 75 0.005000 0.000000 16 JABAS 
7.212935 10000 10000 75 0.005000 0.000000 20 JABAS 
7.281455 10000 10000 75 0.005000 0.000000 24 JABAS 
311.009655 10000 10000 100 0.005000 0.000000 1 JABAS 
155.716422 10000 10000 100 0.005000 0.000000 2 JABAS 
77.952041 10000 10000 100 0.005000 0.000000 4 JABAS 
40.554161 10000 10000 100 0.005000 0.000000 8 JABAS 
28.132815 10000 10000 100 0.005000 0.000000 12 JABAS 
21.933266 10000 10000 100 0.005000 0.000000 16 JABAS 
15.779599 10000 10000 100 0.005000 0.000000 20 JABAS 
15.849205 10000 10000 100 0.005000 0.000000 24 JABAS 
