time iterations max_iter N tolerance start_T n_threads experiment
0.000149 92 1000000 8 0.005000 0.000000 1 JASEQ 
0.000398 135 1000000 10 0.005000 0.000000 1 JASEQ 
0.000938 187 1000000 12 0.005000 0.000000 1 JASEQ 
0.002616 279 1000000 15 0.005000 0.000000 1 JASEQ 
0.010055 468 1000000 20 0.005000 0.000000 1 JASEQ 
0.029450 704 1000000 25 0.005000 0.000000 1 JASEQ 
0.071933 982 1000000 30 0.005000 0.000000 1 JASEQ 
0.301908 1672 1000000 40 0.005000 0.000000 1 JASEQ 
0.846305 2529 1000000 50 0.005000 0.000000 1 JASEQ 
5.767711 5387 1000000 75 0.005000 0.000000 1 JASEQ 
24.402794 9218 1000000 100 0.005000 0.000000 1 JASEQ 
40.442991 11014 1000000 110 0.005000 0.000000 1 JASEQ 
65.133579 12961 1000000 120 0.005000 0.000000 1 JASEQ 
121.409896 16159 1000000 135 0.005000 0.000000 1 JASEQ 
202.815040 19673 1000000 150 0.005000 0.000000 1 JASEQ 

