time iterations max_iter N tolerance start_T n_threads experiment
0.001337 92 1000000 8 0.005000 0.000000 1 JASEQ 
0.003885 135 1000000 10 0.005000 0.000000 1 JASEQ 
0.009330 187 1000000 12 0.005000 0.000000 1 JASEQ 
0.027327 279 1000000 15 0.005000 0.000000 1 JASEQ 
0.108980 468 1000000 20 0.005000 0.000000 1 JASEQ 
0.343919 704 1000000 25 0.005000 0.000000 1 JASEQ 
0.825984 982 1000000 30 0.005000 0.000000 1 JASEQ 
3.367949 1672 1000000 40 0.005000 0.000000 1 JASEQ 
9.804624 2529 1000000 50 0.005000 0.000000 1 JASEQ 
70.709960 5387 1000000 75 0.005000 0.000000 1 JASEQ 
286.582611 9218 1000000 100 0.005000 0.000000 1 JASEQ 
457.569333 11014 1000000 110 0.005000 0.000000 1 JASEQ 
