time iterations max_iter N tolerance start_T n_threads experiment
0.001007 92 1000000 8 0.005000 0.000000 2 JABAS 
0.000753 92 1000000 8 0.005000 0.000000 4 JABAS 
0.000773 92 1000000 8 0.005000 0.000000 8 JABAS 
0.002815 92 1000000 8 0.005000 0.000000 12 JABAS 
0.013573 92 1000000 8 0.005000 0.000000 16 JABAS 
0.012288 92 1000000 8 0.005000 0.000000 20 JABAS 
0.121311 92 1000000 8 0.005000 0.000000 24 JABAS 
0.002403 135 1000000 10 0.005000 0.000000 2 JABAS 
0.001733 135 1000000 10 0.005000 0.000000 4 JABAS 
0.003739 135 1000000 10 0.005000 0.000000 8 JABAS 
0.003318 135 1000000 10 0.005000 0.000000 12 JABAS 
0.012082 135 1000000 10 0.005000 0.000000 16 JABAS 
0.022080 135 1000000 10 0.005000 0.000000 20 JABAS 
0.010429 135 1000000 10 0.005000 0.000000 24 JABAS 
0.005261 187 1000000 12 0.005000 0.000000 2 JABAS 
0.003033 187 1000000 12 0.005000 0.000000 4 JABAS 
0.002572 187 1000000 12 0.005000 0.000000 8 JABAS 
0.005893 187 1000000 12 0.005000 0.000000 12 JABAS 
0.020359 187 1000000 12 0.005000 0.000000 16 JABAS 
0.017841 187 1000000 12 0.005000 0.000000 20 JABAS 
0.028454 187 1000000 12 0.005000 0.000000 24 JABAS 
0.015312 279 1000000 15 0.005000 0.000000 2 JABAS 
0.008160 279 1000000 15 0.005000 0.000000 4 JABAS 
0.005085 279 1000000 15 0.005000 0.000000 8 JABAS 
0.009859 279 1000000 15 0.005000 0.000000 12 JABAS 
0.026613 279 1000000 15 0.005000 0.000000 16 JABAS 
0.083066 279 1000000 15 0.005000 0.000000 20 JABAS 
0.083621 279 1000000 15 0.005000 0.000000 24 JABAS 
0.055993 468 1000000 20 0.005000 0.000000 2 JABAS 
0.028906 468 1000000 20 0.005000 0.000000 4 JABAS 
0.018968 468 1000000 20 0.005000 0.000000 8 JABAS 
0.015590 468 1000000 20 0.005000 0.000000 12 JABAS 
0.054622 468 1000000 20 0.005000 0.000000 16 JABAS 
0.075879 468 1000000 20 0.005000 0.000000 20 JABAS 
0.032431 468 1000000 20 0.005000 0.000000 24 JABAS 
0.181574 704 1000000 25 0.005000 0.000000 2 JABAS 
0.098111 704 1000000 25 0.005000 0.000000 4 JABAS 
0.058083 704 1000000 25 0.005000 0.000000 8 JABAS 
0.046363 704 1000000 25 0.005000 0.000000 12 JABAS 
0.067886 704 1000000 25 0.005000 0.000000 16 JABAS 
0.114933 704 1000000 25 0.005000 0.000000 20 JABAS 
0.058447 704 1000000 25 0.005000 0.000000 24 JABAS 
0.417849 982 1000000 30 0.005000 0.000000 2 JABAS 
0.225294 982 1000000 30 0.005000 0.000000 4 JABAS 
0.113995 982 1000000 30 0.005000 0.000000 8 JABAS 
0.090769 982 1000000 30 0.005000 0.000000 12 JABAS 
0.075675 982 1000000 30 0.005000 0.000000 16 JABAS 
0.094985 982 1000000 30 0.005000 0.000000 20 JABAS 
0.072598 982 1000000 30 0.005000 0.000000 24 JABAS 
1.689946 1672 1000000 40 0.005000 0.000000 2 JABAS 
0.852051 1672 1000000 40 0.005000 0.000000 4 JABAS 
0.432365 1672 1000000 40 0.005000 0.000000 8 JABAS 
0.350188 1672 1000000 40 0.005000 0.000000 12 JABAS 
0.285117 1672 1000000 40 0.005000 0.000000 16 JABAS 
0.235793 1672 1000000 40 0.005000 0.000000 20 JABAS 
0.334819 1672 1000000 40 0.005000 0.000000 24 JABAS 
4.999010 2529 1000000 50 0.005000 0.000000 2 JABAS 
2.583858 2529 1000000 50 0.005000 0.000000 4 JABAS 
1.402212 2529 1000000 50 0.005000 0.000000 8 JABAS 
1.013683 2529 1000000 50 0.005000 0.000000 12 JABAS 
0.879016 2529 1000000 50 0.005000 0.000000 16 JABAS 
0.652742 2529 1000000 50 0.005000 0.000000 20 JABAS 
0.740392 2529 1000000 50 0.005000 0.000000 24 JABAS 
35.937548 5387 1000000 75 0.005000 0.000000 2 JABAS 
18.001235 5387 1000000 75 0.005000 0.000000 4 JABAS 
9.488961 5387 1000000 75 0.005000 0.000000 8 JABAS 
6.677789 5387 1000000 75 0.005000 0.000000 12 JABAS 
4.830356 5387 1000000 75 0.005000 0.000000 16 JABAS 
3.916508 5387 1000000 75 0.005000 0.000000 20 JABAS 
3.964690 5387 1000000 75 0.005000 0.000000 24 JABAS 
143.585546 9218 1000000 100 0.005000 0.000000 2 JABAS 
71.874009 9218 1000000 100 0.005000 0.000000 4 JABAS 
37.403975 9218 1000000 100 0.005000 0.000000 8 JABAS 
25.924403 9218 1000000 100 0.005000 0.000000 12 JABAS 
20.326729 9218 1000000 100 0.005000 0.000000 16 JABAS 
14.553837 9218 1000000 100 0.005000 0.000000 20 JABAS 
14.657258 9218 1000000 100 0.005000 0.000000 24 JABAS 
227.643272 11014 1000000 110 0.005000 0.000000 2 JABAS 
116.038230 11014 1000000 110 0.005000 0.000000 4 JABAS 
58.135340 11014 1000000 110 0.005000 0.000000 8 JABAS 
41.568639 11014 1000000 110 0.005000 0.000000 12 JABAS 
29.215461 11014 1000000 110 0.005000 0.000000 16 JABAS 
25.108905 11014 1000000 110 0.005000 0.000000 20 JABAS 
21.012997 11014 1000000 110 0.005000 0.000000 24 JABAS 
