res iterations seconds type
100 5000 0.723995 CPU 
150 5000 1.753471 CPU 
200 5000 3.424578 CPU 
250 5000 7.478677 CPU 
300 5000 16.410057 CPU 
350 5000 24.544616 CPU 
400 5000 36.382436 CPU 
100 5000 0.429507 GPUMAP 
150 5000 1.621973 GPUMAP 
200 5000 3.286861 GPUMAP 
250 5000 5.637381 GPUMAP 
300 5000 11.207286 GPUMAP 
350 5000 23.184175 GPUMAP 
400 5000 23.712883 GPUMAP 
100 5000 0.438948 GPUMEM 
150 5000 1.605306 GPUMEM 
200 5000 3.274792 GPUMEM 
250 5000 5.551474 GPUMEM 
300 5000 11.237215 GPUMEM 
350 5000 23.232739 GPUMEM 
400 5000 23.606634 GPUMEM 
