res iterations seconds type
100 1000 0.543767 GPUMUL 
100 2000 0.742696 GPUMUL 
100 3000 1.013076 GPUMUL 
100 4000 1.221612 GPUMUL 
100 5000 1.402701 GPUMUL 
150 1000 0.765919 GPUMUL 
150 2000 1.031475 GPUMUL 
150 3000 1.396033 GPUMUL 
150 4000 1.963737 GPUMUL 
150 5000 2.274524 GPUMUL 
200 1000 1.032663 GPUMUL 
200 2000 1.637522 GPUMUL 
200 3000 2.279351 GPUMUL 
200 4000 2.842785 GPUMUL 
200 5000 3.433137 GPUMUL 
250 1000 1.363977 GPUMUL 
250 2000 2.161999 GPUMUL 
250 3000 3.167064 GPUMUL 
250 4000 3.924467 GPUMUL 
250 5000 4.769885 GPUMUL 
300 1000 2.117938 GPUMUL 
300 2000 3.787303 GPUMUL 
300 3000 5.457178 GPUMUL 
300 4000 7.138492 GPUMUL 
300 5000 8.844808 GPUMUL 
350 1000 3.407610 GPUMUL 
350 2000 6.000819 GPUMUL 
350 3000 8.897937 GPUMUL 
350 4000 11.679005 GPUMUL 
350 5000 14.455708 GPUMUL 
400 1000 7.085863 GPUMUL 
400 2000 13.465344 GPUMUL 
400 3000 19.860582 GPUMUL 
400 4000 26.354597 GPUMUL 
400 5000 32.731951 GPUMUL 
450 1000 11.648572 GPUMUL 
450 2000 22.631887 GPUMUL 
450 3000 33.623094 GPUMUL 
450 4000 44.470317 GPUMUL 
450 5000 55.671008 GPUMUL 
500 1000 17.149618 GPUMUL 
500 2000 33.579897 GPUMUL 
500 3000 50.205391 GPUMUL 
500 4000 66.710934 GPUMUL 
500 5000 83.234235 GPUMUL 
550 1000 23.413017 GPUMUL 
550 2000 45.914760 GPUMUL 
550 3000 68.356725 GPUMUL 
