res iterations seconds type
100 2000 0.674803 CPU 
150 2000 1.508845 CPU 
200 2000 3.002441 CPU 
250 2000 10.743683 CPU 
300 2000 27.999117 CPU 
350 2000 43.569888 CPU 
400 2000 52.648065 CPU 
100 2000 0.201890 GPUMAP 
150 2000 0.661462 GPUMAP 
200 2000 1.333245 GPUMAP 
250 2000 2.301245 GPUMAP 
300 2000 4.555694 GPUMAP 
350 2000 9.311245 GPUMAP 
400 2000 9.580541 GPUMAP 
100 2000 0.200471 GPUMEM 
150 2000 0.673958 GPUMEM 
200 2000 1.328972 GPUMEM 
250 2000 2.272474 GPUMEM 
300 2000 4.545656 GPUMEM 
350 2000 9.326315 GPUMEM 
400 2000 9.545115 GPUMEM 
100 2000 0.747713 GPUMUL 
150 2000 1.155272 GPUMUL 
200 2000 1.639798 GPUMUL 
250 2000 2.160756 GPUMUL 
300 2000 3.777889 GPUMUL 
350 2000 6.089708 GPUMUL 
400 2000 13.470822 GPUMUL 
100 2000 0.222169 GPUMNRM 
150 2000 0.705309 GPUMNRM 
200 2000 1.297018 GPUMNRM 
250 2000 3.832592 GPUMNRM 
300 2000 13.292293 GPUMNRM 
350 2000 28.281824 GPUMNRM 
400 2000 45.337377 GPUMNRM 
450 2000 11.968392 GPUMAP 
500 2000 19.186615 GPUMAP 
550 2000 23.314093 GPUMAP 
600 2000 32.543563 GPUMAP 
450 2000 11.891578 GPUMEM 
500 2000 19.200123 GPUMEM 
550 2000 23.205870 GPUMEM 
600 2000 32.556987 GPUMEM 
450 2000 22.714870 GPUMUL 
500 2000 33.658432 GPUMUL 
550 2000 45.693547 GPUMUL 
600 2000 55.693481 GPUMUL 
